Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
539,CE,KS,FOE,Topeka,Topeka Regional,CS,None,2965.00,4901.00,-39.50%
540,CE,NE,AIA,Alliance,Alliance Municipal,CS,None,2921.00,2460.00,18.74%
542,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,CS,None,2901.00,2455.00,18.17%
544,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,2837.00,2733.00,3.81%
545,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2776.00,2237.00,24.09%
546,SW,TX,VCT,Victoria,Victoria Regional,CS,None,2761.00,2418.00,14.19%
547,NM,MT,GDV,Glendive,Dawson Community,CS,None,2739.00,2229.00,22.88%
548,SW,TX,DRT,Del Rio,Del Rio International,CS,None,2712.00,807.00,236.06%
550,AL,AK,ELI,Elim,Elim,CS,None,2694.00,2313.00,16.47%
551,WP,HI,HNM,Hana,Hana,CS,None,2676.00,2967.00,-9.81%
552,AL,AK,2C7,Shaktoolik,Shaktoolik,CS,None,2659.00,2779.00,-4.32%
553,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2643.00,2505.00,5.51%
554,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,CS,None,2636.00,36455.00,-92.77%
555,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,2626.00,2413.00,8.83%
556,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,2596.00,2595.00,0.04%
557,AL,AK,NUL,Nulato,Nulato,CS,None,2585.00,2440.00,5.94%
558,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2551.00,2019.00,26.35%
559,NM,CO,FNL,Loveland,Northern Colorado Regional,CS,None,2538.00,3198.00,-20.64%
561,AL,AK,AKI,Akiak,Akiak,CS,None,2525.00,1966.00,28.43%
562,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2506.00,2132.00,17.54%
563,AL,AK,AFM,Ambler,Ambler,CS,None,2501.00,2175.00,14.99%
,,,123,,"Nonhub Primary, Commercial Service",,,,,
,,,519,,Total Commercial Service ,,,,,
